date,type,rate,wpi
Jun-2012,Underutilsation rate,12.3,3.7
Sep-2012,Underutilsation rate,12.3,3.7
Dec-2012,Underutilsation rate,12.5,3.4
Mar-2013,Underutilsation rate,12.9,3.2
Jun-2013,Underutilsation rate,13.2,2.9
Sep-2013,Underutilsation rate,13.1,2.7
Dec-2013,Underutilsation rate,13.4,2.5
Mar-2014,Underutilsation rate,13.4,2.6
Jun-2014,Underutilsation rate,14.0,2.6
Sep-2014,Underutilsation rate,15.1,2.5
Dec-2014,Underutilsation rate,14.6,2.6
Mar-2015,Underutilsation rate,14.3,2.3
Jun-2015,Underutilsation rate,14.4,2.3
Sep-2015,Underutilsation rate,15.0,2.3
Dec-2015,Underutilsation rate,14.2,2.1
Mar-2016,Underutilsation rate,14.1,2.1
Jun-2016,Underutilsation rate,14.5,2.1
Sep-2016,Underutilsation rate,14.4,2.0
Dec-2016,Underutilsation rate,14.4,2.0
Mar-2017,Underutilsation rate,14.5,1.9
Jun-2017,Underutilsation rate,14.0,1.9
Sep-2017,Underutilsation rate,14.0,2.0
Dec-2017,Underutilsation rate,14.1,2.1
Mar-2018,Underutilsation rate,14.1,2.1
Jun-2018,Underutilsation rate,13.9,2.1
Sep-2018,Underutilsation rate,13.3,2.3
Dec-2018,Underutilsation rate,13.3,2.3
Mar-2019,Underutilsation rate,13.3,2.3
Jun-2019,Underutilsation rate,13.5,2.4
Sep-2019,Underutilsation rate,13.5,2.2
Dec-2019,Underutilsation rate,13.3,2.2
Mar-2020,Underutilsation rate,14.0,2.2
Jun-2020,Underutilsation rate,19.1,1.7
Sep-2020,Underutilsation rate,18.3,1.4
Dec-2020,Underutilsation rate,15.1,1.4
Sep-1998,Unemployment rate,7.6,3.3
Dec-1998,Unemployment rate,7.2,3.0
Mar-1999,Unemployment rate,7.0,3.2
Jun-1999,Unemployment rate,6.7,3.1
Sep-1999,Unemployment rate,7.0,3.0
Dec-1999,Unemployment rate,6.7,3.0
Mar-2000,Unemployment rate,6.6,2.7
Jun-2000,Unemployment rate,6.1,2.8
Sep-2000,Unemployment rate,6.0,3.1
Dec-2000,Unemployment rate,6.2,3.4
Mar-2001,Unemployment rate,6.5,3.8
Jun-2001,Unemployment rate,6.9,3.7
Sep-2001,Unemployment rate,6.8,3.6
Dec-2001,Unemployment rate,6.9,3.5
Mar-2002,Unemployment rate,6.4,3.1
Jun-2002,Unemployment rate,6.5,3.2
Sep-2002,Unemployment rate,6.3,3.3
Dec-2002,Unemployment rate,6.2,3.3
Mar-2003,Unemployment rate,6.1,3.6
Jun-2003,Unemployment rate,6.1,3.5
Sep-2003,Unemployment rate,5.8,3.6
Dec-2003,Unemployment rate,5.7,3.8
Mar-2004,Unemployment rate,5.4,3.5
Jun-2004,Unemployment rate,5.5,3.5
Sep-2004,Unemployment rate,5.4,3.6
Dec-2004,Unemployment rate,5.1,3.5
Mar-2005,Unemployment rate,5.2,3.9
Jun-2005,Unemployment rate,5.0,4.1
Sep-2005,Unemployment rate,5.0,4.2
Dec-2005,Unemployment rate,5.1,4.1
Mar-2006,Unemployment rate,4.9,4.1
Jun-2006,Unemployment rate,4.8,4.2
Sep-2006,Unemployment rate,4.7,3.9
Dec-2006,Unemployment rate,4.6,4.0
Mar-2007,Unemployment rate,4.5,4.0
Jun-2007,Unemployment rate,4.3,4.0
Sep-2007,Unemployment rate,4.2,4.3
Dec-2007,Unemployment rate,4.3,4.2
Mar-2008,Unemployment rate,4.1,4.1
Jun-2008,Unemployment rate,4.2,4.3
Sep-2008,Unemployment rate,4.3,4.0
Dec-2008,Unemployment rate,4.6,4.3
Mar-2009,Unemployment rate,5.7,4.0
Jun-2009,Unemployment rate,5.9,3.7
Sep-2009,Unemployment rate,5.7,3.4
Dec-2009,Unemployment rate,5.5,2.9
Mar-2010,Unemployment rate,5.4,3.1
Jun-2010,Unemployment rate,5.1,3.1
Sep-2010,Unemployment rate,5.1,3.6
Dec-2010,Unemployment rate,4.9,3.8
Mar-2011,Unemployment rate,4.9,3.9
Jun-2011,Unemployment rate,4.9,3.8
Sep-2011,Unemployment rate,5.2,3.6
Dec-2011,Unemployment rate,5.2,3.7
Mar-2012,Unemployment rate,5.2,3.5
Jun-2012,Unemployment rate,5.2,3.7
Sep-2012,Unemployment rate,5.5,3.7
Dec-2012,Unemployment rate,5.4,3.4
Mar-2013,Unemployment rate,5.6,3.2
Jun-2013,Unemployment rate,5.7,2.9
Sep-2013,Unemployment rate,5.7,2.7
Dec-2013,Unemployment rate,5.9,2.5
Mar-2014,Unemployment rate,5.9,2.6
Jun-2014,Unemployment rate,6.0,2.6
Sep-2014,Unemployment rate,6.2,2.5
Dec-2014,Unemployment rate,6.1,2.6
Mar-2015,Unemployment rate,6.1,2.3
Jun-2015,Unemployment rate,6.0,2.3
Sep-2015,Unemployment rate,6.2,2.3
Dec-2015,Unemployment rate,5.7,2.1
Mar-2016,Unemployment rate,5.6,2.1
Jun-2016,Unemployment rate,5.7,2.1
Sep-2016,Unemployment rate,5.6,2.0
Dec-2016,Unemployment rate,5.8,2.0
Mar-2017,Unemployment rate,5.8,1.9
Jun-2017,Unemployment rate,5.6,1.9
Sep-2017,Unemployment rate,5.4,2.0
Dec-2017,Unemployment rate,5.6,2.1
Mar-2018,Unemployment rate,5.5,2.1
Jun-2018,Unemployment rate,5.3,2.1
Sep-2018,Unemployment rate,5.0,2.3
Dec-2018,Unemployment rate,5.0,2.3
Mar-2019,Unemployment rate,5.1,2.3
Jun-2019,Unemployment rate,5.2,2.4
Sep-2019,Unemployment rate,5.2,2.2
Dec-2019,Unemployment rate,5.1,2.2
Mar-2020,Unemployment rate,5.2,2.2
Jun-2020,Unemployment rate,7.4,1.7
Sep-2020,Unemployment rate,6.9,1.4
Dec-2020,Unemployment rate,6.6,1.4
